,Movie,Gaze Counts In RoI,Gaze Counts Out RoI,Gaze In out RoI Ratio,Gaze Re Entries To RoI Count,Gaze Re Entries To RoI Rate,Gaze Mean Pupil Change On Event,Fixations Counts In RoI,Fixations Counts Out RoI,Fixations In out RoI Ratio,Fixations Re Entries To RoI Count,Fixations Re Entries To RoI Rate,onset Fixations First In RoI,Duration Fixations First In RoI,onset Mean Fixations In RoI,onset Median Fixations In RoI,onset Std Fixations In RoI,onset Max Fixations In RoI,Duration Max Fixations In RoI,onset Min Fixations In RoI,Duration Min Fixations In RoI,onset Sem Fixations In RoI,onset AUC Fixations In RoI,Pupil radius Fixations First Diff,Pupil radius Fixations ReEntry Mean Diff,Fixations Mean Pupil Change On Event,Saccades Start Counts In RoI,Saccades Start Counts Out RoI,Saccades Start In out RoI Ratio,Saccades End Counts In RoI,Saccades End Counts Out RoI,Saccades End In out RoI Ratio,last onset Saccades End First In RoI,Duration Saccades End First In RoI,vis angle Saccades End First In RoI,peak velocity Saccades End First In RoI,onset Mean Saccades Start In RoI,onset Median Saccades Start In RoI,onset Std Saccades Start In RoI,onset Max Saccades Start In RoI,Duration Max Saccades Start In RoI,vis angle Max Saccades Start In RoI,peak velocity Max Saccades Start In RoI,onset Min Saccades Start In RoI,Duration Min Saccades Start In RoI,vis angle Min Saccades Start In RoI,peak velocity Min Saccades Start In RoI,onset Sem Saccades Start In RoI,onset AUC Saccades Start In RoI,last onset Mean Saccades End In RoI,last onset Median Saccades End In RoI,last onset Std Saccades End In RoI,last onset Max Saccades End In RoI,Duration Max Saccades End In RoI,vis angle Max Saccades End In RoI,peak velocity Max Saccades End In RoI,last onset Min Saccades End In RoI,Duration Min Saccades End In RoI,vis angle Min Saccades End In RoI,peak velocity Min Saccades End In RoI,last onset Sem Saccades End In RoI,last onset AUC Saccades End In RoI,Mean Gaze Distance,Median Gaze Distance,Std Gaze Distance,Max Gaze Distance,Min Gaze Distance,Sem Gaze Distance,AUC Gaze Distance,Mean Fixations Distance,Median Fixations Distance,Std Fixations Distance,Max Fixations Distance,Min Fixations Distance,Sem Fixations Distance,AUC Fixations Distance
3145,-0.0065921554,0.0010324445,0.0016539379,-0.00029682973,-0.0029196008,0.0,-0.12247214,0.0,-0.24377248,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,5.969376e-05,0.0,-0.0013412323,0.0,0.0,0.0,-0.0048489384,0.024613222,0.0,-0.04107943,0.0,-0.033726756,-0.0057607447,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,0.0044667916,0.0,0.0053772917,0.0,0.0,0.0,0.0028812117,0.0,0.0,0.0,0.0064854063,0.0,7.076611e-06,0.0029568463,3.317377e-05,0.0,0.0,-0.00044241815,0.00068994623,0.0,0.0,-0.42696178,0.11809674,-0.03321515,-0.11103878,0.008505491,0.0,0.0,-0.110373594,-0.00039664548,-0.008460652,-0.005188085,-0.103434786,0.027439155,-0.026956216
3146,0.007949634,-0.000121111196,-0.083758414,-0.00029682973,-0.0029196008,0.0,0.2753862,0.0,0.15916757,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,0.0029123803,0.0,0.047037005,0.0,0.0,0.0,-0.0052455193,-0.025734928,0.0,0.0109547265,0.0,-0.17361489,-0.0649145,-0.020569209,0.0,0.0,0.0,0.0,0.0,-0.0033038221,0.0,0.0,0.0,-0.06139225,0.0,0.08302811,0.0,0.0,0.0,-0.036517225,0.0,0.0,0.0,-0.08536232,0.0,-0.007290867,-0.10258585,-0.0022395542,0.0,0.0,0.0019894398,0.003152188,0.0,0.0,-0.6434965,0.09472118,-0.033683054,-0.08082343,0.011263494,0.0,0.0,-0.10973098,0.0013211265,-0.0076242685,-0.005188085,-0.20921974,-0.04022719,-0.020930007
3147,0.027294913,-0.000121111196,0.03969957,-0.00029682973,-0.008457543,0.0,-0.30721003,0.0,-0.005735784,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,0.0029123803,0.0,0.047037005,0.0,0.0,0.0,0.01387326,0.024613222,0.0,0.032385677,0.0,-0.14212827,-0.0035398258,-0.002334176,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,-0.08051103,0.0,0.08302811,0.0,0.0,0.0,0.0028812117,0.0,0.0,0.0,0.0064854063,0.0,-0.007290867,-0.12989008,-0.0022395542,0.0,0.0,0.0019894398,0.003152188,0.0,0.0,0.035318494,-0.0047277533,-0.019869829,0.06742656,-0.0072916304,0.0,0.0,0.035277344,-6.565361e-05,-0.044735324,0.002687024,-5.4568867e-05,0.020108392,-0.01393405
3148,-0.0015250447,0.0010324445,-0.022811381,-0.00029682973,-0.0017909439,0.0,-0.014208314,0.0,-0.4115806,0.0,0.0,0.0,0.00026208488,0.03405047,0.0,0.0,0.0,0.0,-0.0031778612,0.0,0.047969613,0.0,0.0,0.0,0.14367568,0.036358662,0.0,-0.10919123,0.0,-0.10308318,0.008437573,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.0033038221,0.0,0.0,0.0,0.13757935,0.0,0.06767825,0.0,0.0,0.0,0.020909771,0.0,0.0,0.0,-0.054493386,0.0,7.076611e-06,-0.25553206,-0.050629597,0.0,0.0,-0.00044241815,-0.11854879,0.0,0.0,0.19878522,-0.0018976228,-0.019869829,-0.1380663,-0.24593467,0.0,0.0,0.07887871,-0.0012192093,-0.030059265,0.009744222,-0.210153,-0.029374665,-0.19081606
3149,0.007882661,0.0010324445,-0.007968782,-0.00029682973,-0.0029196008,0.0,0.20408253,0.0,0.4638845,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,5.969376e-05,0.0,0.006713441,0.0,0.0,0.0,-0.005192685,-0.025734928,0.0,0.14446686,0.0,0.002418872,-0.025965745,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,-0.0029171384,0.0,0.0053772917,0.0,0.0,0.0,0.0028812117,0.0,0.0,0.0,0.0064854063,0.0,7.076611e-06,-0.010874106,3.317377e-05,0.0,0.0,-0.00044241815,0.00068994623,0.0,0.0,0.13891026,-0.0047277533,-0.019869829,0.06626714,-0.0072916304,0.0,0.0,0.017039038,-0.0012192093,-0.020573504,-0.058155533,0.0044092243,0.019912684,0.030414313
3150,-0.006705048,0.0010324445,-0.0025386594,-0.00029682973,-0.0029196008,0.0,0.021133982,0.0,-0.4655998,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,5.969376e-05,0.0,-0.0013412323,0.0,0.0,0.0,-0.0048489384,0.036358662,0.0,-0.13071047,0.0,-0.033726756,0.024923481,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,0.0044667916,0.0,0.0053772917,0.0,0.0,0.0,0.0028812117,0.0,0.0,0.0,0.00210045,0.0,7.076611e-06,-0.009889538,3.317377e-05,0.0,0.0,-0.00044241815,0.00068994623,0.0,0.0,-0.1296058,-0.0047277533,-0.022305937,0.09848775,-0.025737861,0.0,0.0,-0.0355057,-0.00039664548,-0.03918309,-0.0022054964,-0.21410365,0.02184347,-0.20080134
3151,-0.0026869718,0.0010324445,-0.016041853,-0.00029682973,-0.0029196008,0.0,0.24339305,0.0,0.018361226,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,5.969376e-05,0.0,0.006713441,0.0,0.0,0.0,-0.0048489384,-0.025734928,0.0,0.032385677,0.0,-0.021271525,0.001598443,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,-0.0029171384,0.0,0.0053772917,0.0,0.0,0.0,0.0028812117,0.0,0.0,0.0,0.0064854063,0.0,7.076611e-06,-0.010874106,3.317377e-05,0.0,0.0,-0.00044241815,0.00068994623,0.0,0.0,-0.09699574,0.0030790868,-0.022305937,-0.06324924,0.007265777,0.0,0.0,0.02326102,-0.00082925276,0.011012651,-0.00029556546,0.061052904,0.029486202,-0.014324007
3152,0.022792382,0.0010324445,0.00072861026,-0.00029682973,-0.0017909439,0.0,0.012483915,0.0,0.20275123,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,-0.0031778612,0.0,0.094136,0.0,0.0,0.0,0.033992223,0.036358662,0.0,0.05745417,0.0,0.21962893,0.00990103,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,0.13757935,0.0,0.097843304,0.0,0.0,0.0,0.04610582,0.0,0.0,0.0,0.052970756,0.0,0.0073251403,0.009612446,0.002211399,0.0,0.0,-0.00044241815,0.003152188,0.0,0.0,0.6088177,-0.09928346,0.04656259,0.15341021,0.29640985,0.0,0.0,0.12328967,-0.0079861125,0.024250774,0.00848862,0.21763572,-0.02567103,0.0062396256
3153,-0.0005141696,0.0010324445,0.030308455,-0.00029682973,-0.0029196008,0.0,0.0021358673,0.0,-0.4461535,0.0,0.0,0.0,0.00026208488,0.00089189236,0.0,0.0,0.0,0.0,5.969376e-05,0.0,-0.0013412323,0.0,0.0,0.0,-0.0048489384,0.036358662,0.0,-0.13071047,0.0,-0.033726756,0.022961516,0.002859426,0.0,0.0,0.0,0.0,0.0,-0.00040104007,0.0,0.0,0.0,-0.0029171384,0.0,0.0053772917,0.0,0.0,0.0,0.0028812117,0.0,0.0,0.0,0.00210045,0.0,7.076611e-06,-0.009889538,3.317377e-05,0.0,0.0,-0.00044241815,0.00068994623,0.0,0.0,-0.18791196,0.0030790868,-0.022305937,-0.09866455,-0.09122503,0.0,0.0,-0.035983473,-0.00039664548,-0.03200968,-0.005188085,-0.21493857,0.01932347,-0.20080134
3154,0.0013499276,0.0010324445,-0.05740167,0.00022962772,0.04593139,0.0,0.21877614,0.0,0.37562835,0.0,0.0,0.0,1.1345372e-05,-0.0009783392,0.0,0.0,0.0,0.0,-0.0031778612,0.0,-0.04280187,0.0,0.0,0.0,9.6117845e-05,-0.025734928,0.0,0.102162264,0.0,0.112278484,-0.021510454,0.002859426,0.0,0.0,0.0,0.0,0.0,0.015880426,0.0,0.0,0.0,0.082708165,0.0,-0.09192793,0.0,0.0,0.0,0.04610582,0.0,0.0,0.0,0.03668929,0.0,0.0073251403,0.09294924,0.002211399,0.0,0.0,-0.00044241815,-0.0039789877,0.0,0.0,-0.24582951,0.0030790868,0.04656259,-0.077874556,0.28045863,0.0,0.0,-0.03231802,-0.00039664548,0.22651277,0.041676413,0.21599826,0.15227357,0.19785322
